,Unnamed: 0.1,Unnamed: 0,comments,Label
0,0,0,huh  anyway check out this you[tube] channel  kobyoshi,1
1,1,1,hey guys check out my new channel and our first vid this is us the  monkeys  im the monkey in the white shirt please leave a like comment  and please subscribe,1
2,2,2,just for test i have to say murdev com,1
3,3,3,me shaking my sexy ass on my channel enjoy  _  ﻿,1
4,4,4,watch v vtarggvgtwq   check this out  ﻿,1
5,5,5,hey  check out my new website  this site is about kids stuff  kidsmediausa    com,1
6,6,6,subscribe to my channel ﻿,1
7,7,7,i turned it on mute as soon is i came on i just wanted to check the  views ﻿,0
8,8,8,you should check my channel for funny videos ﻿,1
9,9,9,and u should d check my channel and tell me what i should do next ﻿,1
10,10,10,hey subscribe to me﻿,1
11,11,11,once you have started reading do not stop  if you do not subscribe to me  within one day you and youre entire family will die so if you want to stay  alive subscribe right now ﻿,1
12,12,12,https twitter comgbphotographygb﻿,1
13,13,13,subscribe like comment﻿,1
14,14,14,please like  d https premium easypromosapp comvoteme﻿,1
15,15,15,hello  do you like gaming  art videos  scientific experiments  tutorials   lyrics videos  and much  much more of that  if you do please check out our  channel and subscribe to it  weve just started  but soon we hope we will  be able to cover all of our expectations  you can also check out what  weve got so far ﻿,1
16,16,16,im only checking the views﻿,0
17,17,17,http www ebay comitm sspagename strk meselx itamp_trksid p m l ﻿,1
18,18,18,http ubuntuone combeuutvuzkxkutgpzk﻿,1
19,19,19,we are an edm apparel company dedicated to bringing you music inspired  designs  our clothing is perfect for any rave or music festival  we have  neon crop tops  tank tops  tshirts  vnecks and accessories  follow us on  facebook or on instagraml for free giveaways news and more  visit our site  at oncueapparel﻿,1
20,20,20,i think about  millions of the views come from people who only wanted to  check the views﻿,0
21,21,21,subscribe to my channel people  d﻿,1
22,22,22,show your auburn pride here  http www teespring comtigermeathoodie﻿,1
23,23,23,just checking the views﻿,0
24,24,24,check out my channel,1
25,25,25,marketglory   comstrategygameandrijamatf earn real money from game,1
26,26,26,hey guys  im a  yr old music producer  i make chiptunes and bit music   it would be wonderful if you checked out some of my bit remixes  i even  have a gangnamstyle bit remix if you would like to check that out    thanks,1
27,27,27,check me out  im kyle  i rap so yeah ﻿,1
28,28,28,i dont even watch it anymore i just come here to check on  billion or not﻿,0
29,29,29,subscribe to me for free android games  apps  ﻿,1
30,30,30,everyone please come check our newest song in memories of martin luther  king jr ﻿,1
31,31,31,came here to check the views  goodbye ﻿,0
32,32,32,sub my channel for no reason _﻿,1
33,33,33,check out my dubstep song  fireball  made with fruity loops  i really took  time in it   watch v teloarioo﻿,1
34,34,34,billion coming soon﻿,0
35,35,35,why dafuq is a korean song so big in the usa  does that mean we support  koreans  last time i checked they wanted to bomb us  ﻿,0
36,36,36,check my channel please  and listen to the best music ever  p﻿,1
37,37,37,sub  sub please like this comment i want a succesfull youtube so pplease like this  comment and subscribe it only takes  seconds please if you subscribe ill  subscribe back thanks﻿,1
38,38,38,hey everyone  i have just started my first yt channel i would be grateful  if some of you peoples could check out my first clip in bf  and give me  some advice on how my video was and how i could improve it  also be sure to  go check out the about to see what im all about  thanks for your time      and to haters  you hate  i win﻿,1
39,39,39,the projects after effects  music  foto  web sites and another you can find  and buy here  http audiojungle netusereugenekalininportfolio ref eugenekalinin﻿,1
40,40,40,youtubecodytolleson for awesome videos ill subscribe back ﻿,1
41,41,41,if you like roblox minecraft world of warcraft gta mario suscribe to my  channel﻿,1
42,42,42,subscribe to me and ill subscribe to you  must like  czfcxsnjnq  ﻿,1
43,43,43,http www twitch tvjaroadc come follow and watch my stream ﻿,1
44,44,44,if you like raw talent  raw lyrics  straight real hip hop everyone check my newest sound  dizzy x  got the juice prod by  drugs the model citizen    comment tell me what you think  dont be lazy     prophetz﻿,1
45,45,45,subscribe    to my    channel ﻿,1
46,46,46,now its   views  pls  comment the view count the next hour  p﻿,0
47,47,47,http www avaaz orgpopetitionyoutube_corporation_fox_broadcasting_company_anular_os_strikes_no_canal_nostalgia cxpzpgb ﻿,1
48,48,48,go here to check the views  ﻿,0
49,49,49,thumbs up if u checked this video to see hw views it got﻿,0
50,50,50,plz subscribe to my channel and i will subscribe back xx﻿,1
51,51,51,i check back often to help reach x  views and i avoid watching baby﻿,0
52,52,52,this video will get to  billion just because of people checking if it has  hit  billion yet ﻿,0
53,53,53,https www facebook compagesbrewcrew like this  facebookpage  chance to win an iphone s ﻿,1
54,54,54,get gwar to play  superbowl  http www change orgpetitionsthenationalfootballleagueallowgwartoperformthesuperbowlhalftimeshowshare ﻿,1
55,55,55,pls follow this channel  http www twitch tvsevadus﻿,1
56,56,56,hi guys check my youtube channel﻿,1
57,57,57,subscribe and like to me for more how to videos on minecraft ﻿,1
58,58,58,http tankionline comfriend cddbf great game check it out ﻿,1
59,59,59,subscribe me ﻿,1
60,60,60,im just to check how much views it has﻿,0
61,61,61,the first comment is chuck norrus ovbiously  d﻿,0
62,62,62,behold the most viewed youtube video in the history of ever﻿,0
63,63,63,when is this gonna hit  billion ﻿,0
64,64,64,the most viewed youtube video of all time ﻿,0
65,65,65,dislikes like dislike themselves﻿,0
66,66,66,psy korean﻿,0
67,67,67,omg this oldspice spraytan party commercial omg im sitting here  no  this isnt a real thing is it  omg  ﻿,0
68,68,68,this is the only video on youtube that get so much views just because we  want to see how much views it has    every day  i mean  most people  think a video is popular when it actually gets   views ﻿,0
69,69,69,its been back for quite a while now,0
70,70,70,billions in,0
71,71,71,plz check out fablife  welcome to fablife for diys and challenges so plz  subscribe thx ﻿,1
72,72,72,sub my channel ﻿,1
73,73,73,http www ebay comitm sspagename strk meselx itamp_trksid p m l ﻿,1
74,74,74,http www guardalo orgbestoffunnycatsgattipazziedivertenti ﻿,1
75,75,75,if your like drones  plz subscribe to kamal tayara  he takes videos with  his drone that are absolutely beautiful ﻿,1
76,76,76,http hackfbaccountlive com ref ﻿,1
77,77,77,whats up everyone     i trying to showcase my talent to the world  i have over  subscribers  i promise  i dont suck  please spread my covers around  subscribe amp share  thanks so much for all your support  lucas trigo stay awesome  ﻿,1
78,78,78,gtgtgtgt  https www facebook comvideo php v ampset vb amptype amppermpage   lt﻿,1
79,79,79,hi there im group leader of angel  a rookie korean pop group  we have four  members  chanicka  julie  stephanie  and myself  leah  please feel free to  check out our channel and leave some feedback on our cover videos    criticism is welcome as we know were not top notch singers so please come  leave some constructive feedback on our videos we appreciate any chance to  improve before auditioning for a korean management company  we plan on  auditioning for jyp  bighit  jellyfish  yg or sm  thank you for taking time  out of your day to read this  ﻿,1
80,80,80,http woobox comgxrfbrtu free cs go ﻿,1
81,81,81,admit it you just came here to check the number of viewers ﻿,0
82,82,82,just coming to check if people are still viewing this video  and  apparently  they still do ﻿,0
83,83,83,check my first video out﻿,1
84,84,84,check my channel﻿,1
85,85,85,psy  gangnam style 강남스타일  mv  http youtu bebzkpqf﻿,0
86,86,86,suscribe my channel please xd lol﻿,1
87,87,87,wow  comments section on this still active  not bad  also  comments   now  ﻿,0
88,88,88,http binbox iofiro﻿,1
89,89,89,ching ching ling long ding ring yaaaaaa ganga sty fuck you ﻿,0
90,90,90,https www indiegogo comprojectscleaningthepan    please halp me  with my project﻿,1
91,91,91,there is one video on my channel about my brother ﻿,1
92,92,92,check my channel  please ﻿,1
93,93,93,does anyone here use gift cards like amazon  itunes  psn  google play   itunes  or any other gift cards  then youll be happy to know you can get  free gift card codes for free from an amazing site  here is a   itunes  gift card code xxbbtczhmhvzd﻿,1
94,94,94,why does this video have so many views  because asian things are awesome and nonasian countries are jelly so they  try to learn from asia by looking at this video d ﻿,0
95,95,95,plizz withing my channel ﻿,1
96,96,96,i made a gaming channel unique right   l angry minecraft ﻿,1
97,97,97,please help me go here http www gofundme comlittlebrother﻿,1
98,98,98,anybody who subscribes to me will get  subscribers﻿,1
99,99,99,http thepiratebay setorrenttimothy_sykes_collection﻿,1
100,100,100,my videos are half way decent  check them out if you want ﻿,1
101,101,101,they said this video are not deserve billion views   while they keep  visiting it to watch the viewer   ﻿,0
102,102,102,subscribe to itz recaps and above diddle﻿,1
103,103,103,screw this chinese crap i dont even understand what he is saying  why isnt  he speaking english like everyone should ﻿,0
104,104,104,need money enjoy https www tsu coemerson_zanol﻿,1
105,105,105,sub to my channel visuelgamingznl i sub back﻿,1
106,106,106,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back  d hoppa hoppa gangam style﻿,1
107,107,107,sub me if you dont like the song﻿,1
108,108,108,this is a weird video ﻿,0
109,109,109,million likes xd even the subscribers not  million xd﻿,0
110,110,110,ehi guys can you subscribe in my channel  i am a new youtuber and i play  minecraft thanks guys  subscribe ﻿,1
111,111,111,hi everyone  do you like music  then why not check out my music channel   the lexis band will be uploading their own songs and covers soon so dont  miss out  please subscribe too as it does help us out a lot  just takes one  click  gt﻿,1
112,112,112,this song never gets old love it ﻿,0
113,113,113,gofundme comgrwmps﻿,1
114,114,114,hey guys please check out my new google+ page it has many funny pictures   funnytortspics  https plus google compost﻿,1
115,115,115,bitches﻿,0
116,116,116,made in china ﻿,0
117,117,117,milions comentars and  bilion views﻿,0
118,118,118,it is  zero﻿,0
119,119,119,mix  psy  gangnam style 강남스타일  mv  psy  gangnam style 강남스타일  mv﻿,0
120,120,120,this has had over  billion views   holy shit ﻿,0
121,121,121,how can there be   views  when im the only person alive after  the zombie apocalypse  greetings  spoderman  ﻿,0
122,122,122,suscribe my channel please﻿,1
123,123,123,wiews  wow﻿,0
124,124,124,guys please subscribe me to help my channel grow please guys﻿,1
125,125,125,great music anyway﻿,0
126,126,126,psy  gangnam style 강남스타일  mv  http youtu bebzkpqf﻿,0
127,127,127,so crazy  over  billion views  not us  not uk  its korea republic  its  asia﻿,0
128,128,128,discover a beautiful song of a young moroccan     http www linkbucks comacng﻿,1
129,129,129,like getting gift cards but hate spending the cash  try juno wallet   at juno wallet you can earn money for gift cards such as  nike  gamestop   amazon   ebay etc amp its easy  earn money by doing simple task like watching videos downloading apps amp  you can even earn money by inviting your friends to join its free for  signup sign up today amp use promo code bd﻿,1
130,130,130,can somebody wake me up when we get to  billion views ﻿,0
131,131,131,psy got lots  of money from youtube that he got from  billion views this  is the most views in the world  d﻿,0
132,132,132,justin bieber   gay ﻿,0
133,133,133,you gotta say its funny  well not  billion worth funny but still  it  clicked and everything went uphill  at least you dont have jbs shit on   ﻿,0
134,134,134,﻿,0
135,135,135,ahhh   years ago ﻿,0
136,136,136,dance dance psy  http www reverbnation commsmarilynmiles﻿,1
137,137,137,check out  starlitnightsky  channel to see epic videos﻿,1
138,138,138,https www tsu cokodysman plz  ﻿,1
139,139,139,stupid people  this video doesnt have  billion visits  have  thousands  millions﻿,0
140,140,140,http www gcmforex compartnersaw aspx task jointampaffiliateid ﻿,1
141,141,141,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,1
142,142,142,pls http www vakinha com brvaquinhae aspx e  help me get vip gun  cross fire al﻿,1
143,143,143,add me here https www facebook comtlouxmusic﻿,1
144,144,144,check my channel out please  i do singing covers﻿,1
145,145,145,i think this is now a place to promote channels in the comment section lol ﻿,0
146,146,146,get free gift cards and pay pal money ﻿,1
147,147,147,check out pivot animations in my channel﻿,1
148,148,148,follow me on twitter amp ig   __killuminati﻿,1
149,149,149,check me out im all about gaming ﻿,1
150,150,150,oppa  yeah  best song ﻿,0
151,151,151,more  http www sunfrogshirts comsunglassworld html ﻿,1
152,152,152,https www facebook comteelalala﻿,1
153,153,153,http www twitch tvzxlightsoutxz﻿,1
154,154,154,reminds me of this song https soundcloud compopaegiswrennalmondeyes﻿,1
155,155,155,what free gift cards  go here  http www swagbucks compregister rb ﻿,1
156,156,156,search  chubbz dinero  ready or not   thanks ﻿,1
